oracle_id,source_dataset,source_category,source_subcategory,serial_number,reporting_time,bug_link,finding_slug,contest_slug,finding_id,project_slug,source_root_cause,source_exploitation_method,source_fix_strategy,raw_line,source_file
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,TOSEM,Dynamic Dependent Update Omission,,1,2021-08-17,https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate,2021-07-wildcredit#h-02,2021-07-wildcredit,h-02,wildcredit,The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation.",Revise the previous accumulated interest rate update method.,"1|2021-08-17|[2021-07-wildcredit#h-02](https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate)| The accumulated interest rate is not updated during account liquidation.| Interest calculation error, the borrower bypassed interest payment through self liquidation. | Revise the previous accumulated interest rate update method.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-028,TOSEM,Dynamic Dependent Update Omission,,28,2023-09-18,https://code4rena.com/reports/2023-05-maia#h-28-removing-a-bribeflywheel-from-a-gauge-does-not-remove-the-reward-asset-from-the-rewards-depo-making-it-impossible-to-add-a-new-flywheel-with-the-same-reward-token,2023-05-maia#h-28,2023-05-maia,h-28,maia,The reward records for this Flywheel are not removed simultaneously when removing the BribeFlywheel.,It is not possible to add new Flywheel incentives that would affect the protocol functionality.,Remove the reward token assets associated with the Flywheel.,28|2023-09-18|[2023-05-maia#h-28](https://code4rena.com/reports/2023-05-maia#h-28-removing-a-bribeflywheel-from-a-gauge-does-not-remove-the-reward-asset-from-the-rewards-depo-making-it-impossible-to-add-a-new-flywheel-with-the-same-reward-token)|The reward records for this Flywheel are not removed simultaneously when removing the BribeFlywheel. | It is not possible to add new Flywheel incentives that would affect the protocol functionality. | Remove the reward token assets associated with the Flywheel.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-029,TOSEM,Dynamic Dependent Update Omission,,29,2023-10-05,https://code4rena.com/reports/2023-07-basin#h-01-pumps-are-not-updated-in-the-shift-and-sync-functions-allowing-oracle-manipulation,2023-07-basin#h-01,2023-07-basin,h-01,basin,The oracle Pumps is not updated promptly.,Manipulate the reserves of the current block and thus tamper with the prophecy machine data.,Update the Pumps data immediately after each reserve change.,29|2023-10-05|[2023-07-basin#h-01](https://code4rena.com/reports/2023-07-basin#h-01-pumps-are-not-updated-in-the-shift-and-sync-functions-allowing-oracle-manipulation)|The oracle Pumps is not updated promptly. | Manipulate the reserves of the current block and thus tamper with the prophecy machine data. | Update the Pumps data immediately after each reserve change.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-030,TOSEM,Dynamic Dependent Update Omission,,30,2023-12-29,https://code4rena.com/reports/2023-08-dopex#h-08-the-peg-stability-module-can-be-compromised-by-forcing-lowerdepeg-to-revert,2023-08-dopex#h-08,2023-08-dopex,h-08,dopex,totalWethDelegated is not reduced when users withdraw WETH.,Reducing WETH reserves incorrectly resulted in a rollback due to insufficient reserves when attempting to restore the price.,Update totalWethDelegated in the withdraw function.,30|2023-12-29|[2023-08-dopex#h-08](https://code4rena.com/reports/2023-08-dopex#h-08-the-peg-stability-module-can-be-compromised-by-forcing-lowerdepeg-to-revert)| totalWethDelegated is not reduced when users withdraw WETH. | Reducing WETH reserves incorrectly resulted in a rollback due to insufficient reserves when attempting to restore the price. | Update totalWethDelegated in the withdraw function.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-031,TOSEM,Dynamic Dependent Update Omission,,31,2024-01-16,https://code4rena.com/reports/2023-12-initcapital#h-01-liquidations-can-be-prevented-by-frontrunning-and-liquidating-1-debt-or-more-due-to-wrong-assumption-in-pos_manager,2023-12-initcapital#h-01,2023-12-initcapital,h-01,initcapital,The user's latest debt status is not updated.,"Debt shares are miscalculated, which in turn causes subsequent liquidation operations to fail.",Update the user's latest debt record in the _repay() function.,"31|2024-01-16|[2023-12-initcapital#h-01](https://code4rena.com/reports/2023-12-initcapital#h-01-liquidations-can-be-prevented-by-frontrunning-and-liquidating-1-debt-or-more-due-to-wrong-assumption-in-pos_manager)|The user's latest debt status is not updated. | Debt shares are miscalculated, which in turn causes subsequent liquidation operations to fail. | Update the user's latest debt record in the _repay() function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-032,TOSEM,Dynamic Dependent Update Omission,,32,2024-01-26,https://code4rena.com/reports/2023-12-particle#h-02-openposition-use-stale-feegrowthinside0lastx128feegrowthinside1lastx128,2023-12-particle#h-02,2023-12-particle,h-02,particle,The fee accumulator value is not synchronized with the pool's current state.,"Inaccurate values of fee increases were used to calculate fees over the period of borrowing, which resulted in borrowers paying additional fees at the time of repayment.",Call collectLiquidity() to synchronize the fee accumulator.,"32|2024-01-26|[2023-12-particle#h-02](https://code4rena.com/reports/2023-12-particle#h-02-openposition-use-stale-feegrowthinside0lastx128feegrowthinside1lastx128)|The fee accumulator value is not synchronized with the pool's current state. | Inaccurate values of fee increases were used to calculate fees over the period of borrowing, which resulted in borrowers paying additional fees at the time of repayment. | Call collectLiquidity() to synchronize the fee accumulator.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-033,TOSEM,Dynamic Dependent Update Omission,,33,2024-04-19,https://code4rena.com/reports/2024-03-gitcoin#h-01-usertotalstaked-invariant-will-be-broken-due-to-vulnerable-implementations-in-release,2024-03-gitcoin#h-01,2024-03-gitcoin,h-01,gitcoin,userTotalStaked is not updated when releasing funds.,"The actual pledge amount does not match userTotalStaked, thus miscalculating the withdrawn funds at the time of withdrawal.",Update the userTotalStaked in release().,"33|2024-04-19|[2024-03-gitcoin#h-01](https://code4rena.com/reports/2024-03-gitcoin#h-01-usertotalstaked-invariant-will-be-broken-due-to-vulnerable-implementations-in-release)|userTotalStaked is not updated when releasing funds. | The actual pledge amount does not match userTotalStaked, thus miscalculating the withdrawn funds at the time of withdrawal. | Update the userTotalStaked in release().",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-034,TOSEM,Dynamic Dependent Update Omission,,34,2024-06-25,https://code4rena.com/reports/2024-03-dittoeth#h-07-valid-redemption-proposals-can-be-disputed-by-decreasing-collateral,2024-03-dittoeth#h-07,2024-03-dittoeth,h-07,dittoeth,updatedAt is not updated when creating proposals.,"The collateral ratio was calculated incorrectly and was lower than that recorded in other valid redemption proposals, thus successfully initiating an invalid dispute and obtaining penalty fees.",Update updatedAt in the decreaseCollateral() function.,"34|2024-06-25|[2024-03-dittoeth#h-07](https://code4rena.com/reports/2024-03-dittoeth#h-07-valid-redemption-proposals-can-be-disputed-by-decreasing-collateral)|updatedAt is not updated when creating proposals. | The collateral ratio was calculated incorrectly and was lower than that recorded in other valid redemption proposals, thus successfully initiating an invalid dispute and obtaining penalty fees. | Update updatedAt in the decreaseCollateral() function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-035,TOSEM,Dynamic Dependent Update Omission,,35,2024-08-06,https://code4rena.com/reports/2024-05-olas#h-01-pointssumslope-not-updated-after-nominee-removal-and-votes-revocation,2024-05-olas#h-01,2024-05-olas,h-01,olas,pointsSum.slope is not updated when nominees are removed.,"Errors occurred in the calculation of voting weights, affecting the accuracy of the governance mechanism.",Update pointsSum.slope in removeNominee(),"35|2024-08-06|[2024-05-olas#h-01](https://code4rena.com/reports/2024-05-olas#h-01-pointssumslope-not-updated-after-nominee-removal-and-votes-revocation)|pointsSum.slope is not updated when nominees are removed. | Errors occurred in the calculation of voting weights, affecting the accuracy of the governance mechanism. | Update pointsSum.slope in removeNominee()",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-036,TOSEM,Dynamic Dependent Update Omission,,36,2024-07-19,https://code4rena.com/reports/2024-01-curves#h-02-unrestricted-claiming-of-fees-due-to-missing-balance-updates-in-feesplitter,2024-01-curves#h-02,2024-01-curves,h-02,curves,"Update accumulated rewards only during trades, not transfers.","The fee offset for the new account was not updated, resulting in incorrect calculation of the fees due to the account.",Call onBalanceChange() to update accumulated rewards in all balance-changing operations.,"36|2024-07-19|[2024-01-curves#h-02](https://code4rena.com/reports/2024-01-curves#h-02-unrestricted-claiming-of-fees-due-to-missing-balance-updates-in-feesplitter)|Update accumulated rewards only during trades, not transfers. | The fee offset for the new account was not updated, resulting in incorrect calculation of the fees due to the account. | Call onBalanceChange() to update accumulated rewards in all balance-changing operations.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-037,TOSEM,Dynamic Dependent Update Omission,,37,2024-07-25,https://code4rena.com/reports/2024-04-gondi#h-07-deploywithdrawalqueue-need-to-clear-_queueaccountinglastqueueindex,2024-04-gondi#h-07,2024-04-gondi,h-07,gondi,The data in _queueAccounting[lastQueueIndex] is not cleared when deploying a new withdrawal queue.,queueClaimAll() used outdated data and incorrectly allocated the total amount due.,Clear _queueAccounting[lastQueueIndex] data in deployWithdrawalQueue().,37|2024-07-25|[2024-04-gondi#h-07](https://code4rena.com/reports/2024-04-gondi#h-07-deploywithdrawalqueue-need-to-clear-_queueaccountinglastqueueindex)|The data in _queueAccounting[lastQueueIndex] is not cleared when deploying a new withdrawal queue. | queueClaimAll() used outdated data and incorrectly allocated the total amount due. | Clear _queueAccounting[lastQueueIndex] data in deployWithdrawalQueue().,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-038,TOSEM,Dynamic Dependent Update Omission,,38,2024-07-25,https://code4rena.com/reports/2024-04-gondi#h-06-function-settlewithbuyout-does-not-call-loanmanagerloanliquidation-during-a-buyout,2024-04-gondi#h-06,2024-04-gondi,h-06,gondi,The loan pool accounting records are not updated when lenders buy out loans via the settleWithBuyout() function.,"The accounting in the pool was not handled correctly, which affected the balance and profit distribution in the pool.",Call loanLiquidation() within settleWithBuyout() to ensure accounting data updates.,"38|2024-07-25|[2024-04-gondi#h-06](https://code4rena.com/reports/2024-04-gondi#h-06-function-settlewithbuyout-does-not-call-loanmanagerloanliquidation-during-a-buyout)|The loan pool accounting records are not updated when lenders buy out loans via the settleWithBuyout() function. | The accounting in the pool was not handled correctly, which affected the balance and profit distribution in the pool. | Call loanLiquidation() within settleWithBuyout() to ensure accounting data updates.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-039,TOSEM,Dynamic Dependent Update Omission,,39,2024-12-08,https://github.com/code-423n4/zenith-portfolio/tree/main/reports,2024-jul-gemnify-proleague#h-2,2024-jul-gemnify-proleague,h-2,gemnify-proleague,ps.tokenBalances[] is not updated in the safeTransfer() function.,The actual amount received returned to users when withdrawing or transferring funds is incorrect.,Call transferOut() in claimFundingFees() to update token balances during fund transfers.,39|2024-12-08|[2024-jul-gemnify-proleague#h-2](https://github.com/code-423n4/zenith-portfolio/tree/main/reports)|ps.tokenBalances[] is not updated in the safeTransfer() function. | The actual amount received returned to users when withdrawing or transferring funds is incorrect. | Call transferOut() in claimFundingFees() to update token balances during fund transfers.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-040,TOSEM,Dynamic Dependent Update Omission,,40,2024-08-06,https://code4rena.com/reports/2024-05-olas#h-01-pointssumslope-not-updated-after-nominee-removal-and-votes-revocation,2024-05-olas#h-01,2024-05-olas,h-01,olas,pointsSum.slope is not updated when nominees are removed.,"The slope for the removed nominees is still included in the calculation, resulting in an inaccurate calculation of the voting weight.",Update pointsSum.slope in removeNominee().,"40|2024-08-06|[2024-05-olas#h-01](https://code4rena.com/reports/2024-05-olas#h-01-pointssumslope-not-updated-after-nominee-removal-and-votes-revocation)|pointsSum.slope is not updated when nominees are removed. | The slope for the removed nominees is still included in the calculation, resulting in an inaccurate calculation of the voting weight. | Update pointsSum.slope in removeNominee().",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-041,TOSEM,Dynamic Dependent Update Omission,,41,2024-08-16,https://code4rena.com/reports/2024-07-munchables#h-01-single-plot-can-be-occupied-by-multiple-renters,2024-07-munchables#h-01,2024-07-munchables,h-01,munchables,toiletState[tokenId].plotId is not updated when users transfer tokens to another plot.,Allowing multiple tenants to occupy the same plot and causing errors in reward calculations.,Update toiletState[tokenId].plotId in the transferToUnoccupiedPlot() function.,41|2024-08-16|[2024-07-munchables#h-01](https://code4rena.com/reports/2024-07-munchables#h-01-single-plot-can-be-occupied-by-multiple-renters)| toiletState[tokenId].plotId is not updated when users transfer tokens to another plot. | Allowing multiple tenants to occupy the same plot and causing errors in reward calculations. | Update toiletState[tokenId].plotId in the transferToUnoccupiedPlot() function.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-042,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),42,2021-08-30,https://code4rena.com/reports/2021-05-visorfinance#h-02-nft-transfer-approvals-are-not-removed-and-cannot-be-revoked-thus-leading-to-loss-of-nft-tokens,2021-05-visorfinance#h-02,2021-05-visorfinance,h-02,visorfinance,The granted NFT transaction authorization is not revoked.,"The authorization has not been revoked, and the authorized person can transfer NFTs repeatedly.",Modify the status variables that control the granting or revocation of permissions.,"42|2021-08-30|[2021-05-visorfinance#h-02](https://code4rena.com/reports/2021-05-visorfinance#h-02-nft-transfer-approvals-are-not-removed-and-cannot-be-revoked-thus-leading-to-loss-of-nft-tokens)|The granted NFT transaction authorization is not revoked.|The authorization has not been revoked, and the authorized person can transfer NFTs repeatedly. | Modify the status variables that control the granting or revocation of permissions.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-043,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),43,2021-08-30,https://code4rena.com/reports/2021-05-visorfinance#h-03-approval-for-nft-transfers-is-not-removed-after-transfer,2021-05-visorfinance#h-03,2021-05-visorfinance,h-03,visorfinance,Failure to clear the approval authorization for NFT resulted in authorized agents being able to transfer the NFT multiple times.,The NFT authorization is not reset.,Reset the approval on transfer.,43|2021-08-30|[2021-05-visorfinance#h-03](https://code4rena.com/reports/2021-05-visorfinance#h-03-approval-for-nft-transfers-is-not-removed-after-transfer) | Failure to clear the approval authorization for NFT resulted in authorized agents being able to transfer the NFT multiple times. | The NFT authorization is not reset.| Reset the approval on transfer.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-044,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),44,2022-04-20,https://code4rena.com/reports/2021-11-unlock#h-03-mixintransfersoltransferfrom-wrong-implementation-can-potentially-allows-attackers-to-reverse-transfer-and-cause-fund-loss-to-the-users,2021-11-unlock#h-03,2021-11-unlock,h-03,unlock,The key manager is not reset.,"The attacker repeats the transaction after the key transfer, either returning the key to themselves or transferring it to other recipients.",Reset the key manager in the transferFrom function.,"44|2022-04-20|[2021-11-unlock#h-03](https://code4rena.com/reports/2021-11-unlock#h-03-mixintransfersoltransferfrom-wrong-implementation-can-potentially-allows-attackers-to-reverse-transfer-and-cause-fund-loss-to-the-users)|The key manager is not reset. | The attacker repeats the transaction after the key transfer, either returning the key to themselves or transferring it to other recipients. | Reset the key manager in the transferFrom function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-045,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),45,2022-04-20,https://code4rena.com/reports/2021-11-unlock#h-04-approvals-not-cleared-after-key-transfer,2021-11-unlock#h-04,2021-11-unlock,h-04,unlock,The _setKeyManagerOf function does not clear single-token approvals.,The attacker repeatedly transfers the key back to themselves from the victim without clearing the previous approval after the key transfer.,Call the _clearApproval function to clear the approval.,45|2022-04-20|[2021-11-unlock#h-04](https://code4rena.com/reports/2021-11-unlock#h-04-approvals-not-cleared-after-key-transfer)|The _setKeyManagerOf function does not clear single-token approvals. | The attacker repeatedly transfers the key back to themselves from the victim without clearing the previous approval after the key transfer. | Call the _clearApproval function to clear the approval.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-046,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),46,2022-12-13,https://code4rena.com/reports/2022-07-ens#h-02-the-expiry-of-the-parent-node-can-be-smaller-than-the-one-of-a-child-node-violating-the-guarantee-policy,2022-07-ens#h-02,2022-07-ens,h-02,ens,Child node states are not considered when unwrapping the parent node.,"When unblocking child nodes, the original expiration time management mechanism was disrupted.",Add proper constraints when setting child node expiration times and destroy the parent node's CANNOT_UNWRAP permission.,"46|2022-12-13|[2022-07-ens#h-02](https://code4rena.com/reports/2022-07-ens#h-02-the-expiry-of-the-parent-node-can-be-smaller-than-the-one-of-a-child-node-violating-the-guarantee-policy)|Child node states are not considered when unwrapping the parent node. | When unblocking child nodes, the original expiration time management mechanism was disrupted. | Add proper constraints when setting child node expiration times and destroy the parent node's CANNOT_UNWRAP permission.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-047,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),47,2022-10-26,https://code4rena.com/reports/2022-08-olympus#h-03-trsry-front-runnable-setapprovalfor,2022-08-olympus#h-03,2022-08-olympus,h-03,olympus,The current allowance is not decremented based on existing withdrawal records.,The attacker can front-run the approval change process to withdraw the previously approved funds early.,Decrement the current allowance based on existing withdrawal records when setting a new allowance.,47|2022-10-26|[2022-08-olympus#h-03](https://code4rena.com/reports/2022-08-olympus#h-03-trsry-front-runnable-setapprovalfor)|The current allowance is not decremented based on existing withdrawal records. | The attacker can front-run the approval change process to withdraw the previously approved funds early. | Decrement the current allowance based on existing withdrawal records when setting a new allowance.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-048,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),48,2022-11-17,https://code4rena.com/reports/2022-09-party#h-05-arbitrarycallsproposalsol-and-listonopenseaproposalsol-safeguards-can-be-bypassed-by-cancelling-in-progress-proposal-allowing-the-majority-to-steal-nft,2022-09-party#h-05,2022-09-party,h-05,party,The NFT approval is not revoked.,"The attacker cancels the proposal in progress, thereby bypassing the protection measures and stealing the NFT.",Clear the authorization after the proposal is canceled.,"48|2022-11-17|[2022-09-party#h-05](https://code4rena.com/reports/2022-09-party#h-05-arbitrarycallsproposalsol-and-listonopenseaproposalsol-safeguards-can-be-bypassed-by-cancelling-in-progress-proposal-allowing-the-majority-to-steal-nft)|The NFT approval is not revoked. | The attacker cancels the proposal in progress, thereby bypassing the protection measures and stealing the NFT. | Clear the authorization after the proposal is canceled.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-049,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),49,2023-04-05,https://code4rena.com/reports/2022-07-golom#h-04-old-delegatee-not-deleted-when-delegating-to-new-tokenid,2022-07-golom#h-04,2022-07-golom,h-04,golom,The old delegatee is not removed.,"The old delegators were not deleted, resulting in the same user being able to double-count voting rights by delegating the same token multiple times.",remove the user's old delegation before executing a new operation.,"49|2023-04-05|[2022-07-golom#h-04](https://code4rena.com/reports/2022-07-golom#h-04-old-delegatee-not-deleted-when-delegating-to-new-tokenid)|The old delegatee is not removed. | The old delegators were not deleted, resulting in the same user being able to double-count voting rights by delegating the same token multiple times. | remove the user's old delegation before executing a new operation.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-050,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),50,2023-04-11,https://code4rena.com/reports/2023-01-rabbithole#h-02-protocol-fees-can-be-withdrawn-multiple-times-in-erc20quest,2023-01-rabbithole#h-02,2023-01-rabbithole,h-02,rabbithole,The fee withdrawal status is not updated.,"The withdrawFee() function does not have any protection mechanism, allowing the protocol fee to be withdrawn multiple times.",Track the protocol fee withdrawal status.,"50|2023-04-11|[2023-01-rabbithole#h-02](https://code4rena.com/reports/2023-01-rabbithole#h-02-protocol-fees-can-be-withdrawn-multiple-times-in-erc20quest)|The fee withdrawal status is not updated. | The withdrawFee() function does not have any protection mechanism, allowing the protocol fee to be withdrawn multiple times. | Track the protocol fee withdrawal status.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-051,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),51,2024-06-12,https://code4rena.com/reports/2024-05-loop#h-01-availability-of-deposit-invariant-can-be-bypassed,2024-05-loop#h-01,2024-05-loop,h-01,loop,The state variable totalLpETH is not locked to equal totalSupply.,Pre- and post-operations (sandwich attack) to donate ETH and directly obtain lpETH.,Limit the claimedAmount calculation to only the ETH amount obtained from LRT swaps.,51|2024-06-12|[2024-05-loop#h-01](https://code4rena.com/reports/2024-05-loop#h-01-availability-of-deposit-invariant-can-be-bypassed)|The state variable totalLpETH is not locked to equal totalSupply. | Pre- and post-operations (sandwich attack) to donate ETH and directly obtain lpETH. | Limit the claimedAmount calculation to only the ETH amount obtained from LRT swaps.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-052,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),52,2024-06-17,https://code4rena.com/reports/2024-04-dyad#h-01-design-flaw-and-mismanagement-in-vault-licensing-leads-to-double-counting-in-collateral-ratios-and-positions-collateralized-entirely-with-kerosine,2024-04-dyad#h-01,2024-04-dyad,h-01,dyad,The keroseneVault is not authorized to the KerosineManager.,"The attacker registers the same asset to both management systems at the same time, causing the asset to be counted twice.","Manage keroseneVault and regular vault in separate mappings, used for price calculation and authorization management respectively.","52|2024-06-17|[2024-04-dyad#h-01](https://code4rena.com/reports/2024-04-dyad#h-01-design-flaw-and-mismanagement-in-vault-licensing-leads-to-double-counting-in-collateral-ratios-and-positions-collateralized-entirely-with-kerosine)|The keroseneVault is not authorized to the KerosineManager. | The attacker registers the same asset to both management systems at the same time, causing the asset to be counted twice. | Manage keroseneVault and regular vault in separate mappings, used for price calculation and authorization management respectively.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-053,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),53,2024-07-28,https://github.com/code-423n4/zenith-portfolio/tree/main/reports,2024-06-playfi-proleague#h-1,2024-06-playfi-proleague,h-1,playfi-proleague,The variable limiting user purchase quantity is not updated after license purchase.,The attacker calls the claimLicensePartner() or claimLicensePublic() functions multiple times to repeatedly purchase licenses without restriction.,Accurately record each user's purchase quantity to prevent overbuying.,53|2024-07-28|[2024-06-playfi-proleague#h-1](https://github.com/code-423n4/zenith-portfolio/tree/main/reports)|The variable limiting user purchase quantity is not updated after license purchase. | The attacker calls the claimLicensePartner() or claimLicensePublic() functions multiple times to repeatedly purchase licenses without restriction. | Accurately record each user's purchase quantity to prevent overbuying.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-054,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),54,2024-09-03,https://code4rena.com/reports/2024-07-benddao#h-03-erc721decreaseisolatesupplyonliquidate-missing-clear-lockeraddr,2024-07-benddao#h-03,2024-07-benddao,h-03,benddao,The NFT post-liquidation state is not fully reset.,"The NFT cannot be unlocked successfully, which in turn affects the subsequent NFT extraction operations.",Update tokenData.lockerAddr to address(0) during liquidation.,"54|2024-09-03|[2024-07-benddao#h-03](https://code4rena.com/reports/2024-07-benddao#h-03-erc721decreaseisolatesupplyonliquidate-missing-clear-lockeraddr)|The NFT post-liquidation state is not fully reset. | The NFT cannot be unlocked successfully, which in turn affects the subsequent NFT extraction operations. | Update tokenData.lockerAddr to address(0) during liquidation.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
